"Title","Author","indivauthor","Publication","Type","Year"
"Here are some statistics that show the importance of the Golden Knights winning Game 2 - Vegas Hockey Knight","Jacob Walters","Y","Vegas Hockey Knight","Blog",2026
"The Mitch Marner playoff pattern is real and the stats finally prove it - Hockey Patrol","Charlie McAfee","Y","Hockey Patrol","Website",2026
"True Value: An Apples vs Apples Scouting Tool - Arctic Ice Hockey","Mullayo","N","Arctic Ice Hockey","Website",2026
"Projecting Blue Jackets’ Goalie Stats for 2026-27 - The Hockey Writers","Wesley Minke","Y","The Hockey Writers","Website",2026
"Opening Remarks","Arik Parnass","Y","HALO Proceedings","Conference",2026
"Panel — Data Providers Shaping the NHL’s Future","Meghan Chayka; Mike Kelly; Aaron Ward","Y","HALO Proceedings","Conference",2026
"Hackathon Finalist Presentation 1 — PRESS: A Player-Level Forechecking Metric","Trey Elder; Jonathan Pipping","Y","HALO Proceedings","Conference",2026
"Hackathon Finalist Presentation 2 — Off-Puck Scoring Opportunities: Valuing Offensive Player Movement in Ice Hockey","Jules Lanari-Collard","Y","HALO Proceedings","Conference",2026
"The Hockey PDOcast Live Podcast","Dimitri Filipovic; Thomas Drance","Y","HALO Proceedings","Conference",2026
"Panel — Leveraging Data & Technology in Decision-Making Across Sports","Chris MacFarland; Padraig Smith; Ben Tenzer","Y","HALO Proceedings","Conference",2026
"Hackathon Finalist Presentation 3 — Optimus Reim: Redefining Player Value Through Contextual Expected Threat (xT) using a Transformer Model","Elliott Kervin","Y","HALO Proceedings","Conference",2026
"Hackathon Finalist Presentation 4 — Do you have all the space that you need? Analyzing player passing behavior in the AHL","Judy Cohen","Y","HALO Proceedings","Conference",2026
"Examining the Impact of Traffic on Shot Attempts in Ice Hockey","Pitassi, M.; Iaboni, E.; Lodhi, F.; Brecht, T.","Y","ISACE Proceedings","Conference",2025
"Valuing Actions and Ranking Hockey Players With Machine Learning","Schulte, O.","Y","ISACE Proceedings","Conference",2026
"Geometrically Aware Ice Hockey Puck Tracking via Stable Planar Representations","Salass, L.; Zelek, J.; Clausi, D.","Y","ISACE Proceedings","Conference",2026
"Valuing Actions and Ranking Hockey Players With Machine 1 Learning","Oliver Schulte","Y","LINHAC Proceedings","Conference",2022
"Puck and Player Tracking: Challenges and Opportunities","Tim Brecht","Y","LINHAC Proceedings","Conference",2022
"Performance Metrics for Ice Hockey Accounting for Goal Importance","Patrick Lambrix; Niklas Carlsson","Y","LINHAC Proceedings","Conference",2022
"Keeping Count: Archiving Women’s Hockey Analytics for Accessibility","Carleen Markey; Nix Dube; Alyssa Longmuir; Mike Murphy; An Nguyen; Jessika Ross;  Anna Severn","Y","LINHAC Proceedings","Conference",2022
"Scouting Automated Ratings Analyzing Habits (SARAH): A Sta tistical Methodology for Scouting and Player Development","Noah Chaikof; Katia Clément-Heydra; Carleen Markey; Mikael Nahabedian; Adam Pilotte;  Mairead Shaw","Y","LINHAC Proceedings","Conference",2022
"How Analytics is Changing Ice Hockey","Ulf Johansson; Erik Wilderoth;  Arsalan Sattari","Y","LINHAC Proceedings","Conference",2022
"Predicting the NHL Draft with Rank-Ordered Logit Models","Brendan Kumagai; Ryker Moreau;  Kimberly Kroetch","Y","LINHAC Proceedings","Conference",2022
"Identifying Completed Pass Types and Improving Passing Lane Models","David Radke; Tim Brecht;  Daniel Radke","Y","LINHAC Proceedings","Conference",2022
"Score and Venue Adjustment on Transition Data in Hockey","Cédric Ramqaj  Thibaud Châtel","Y","LINHAC Proceedings","Conference",2022
"Evaluating deep tracking models for player tracking in broadcast ice hockey video","Kanav Vats; Mehrnaz Fani; David A. Clausi;  John S. Zelek","Y","LINHAC Proceedings","Conference",2022
"Where not to lose the puck","Erik Wilderoth; Ulf Johansson;  Arsalan Sattari","Y","LINHAC Proceedings","Conference",2022
"Towards a real-time possession value framework in ice hockey","Frans Murto","Y","LINHAC Proceedings","Conference",2023
"Professionalism & Leadership Development in Ice Hockey: Under standing Social Emotional Learning Experiences of Coaches in Atlantic Canada","Lynn LeVatte; Kristin O’Rourke; Christina Phillips;  11 Shaun Ranni","Y","LINHAC Proceedings","Conference",2023
"Analyzing Passing Metrics in Ice Hockey using Puck and Player Tracking Data","David Radke; Jaxin Lu; Jackson Woloschuk; Tin Le; Daniel Radke; Charlie Liu;  Tim Brecht","Y","LINHAC Proceedings","Conference",2023
"Simple and Practical Goal Importance Metrics for Ice Hockey","Rasmus Säfvenberg; Niklas Carlsson;  Patrick Lambrix","Y","LINHAC Proceedings","Conference",2023
"The Importance of Special Teams in Ice Hockey","Rasmus Säfvenberg; Mikael Svarén; Niklas Carlsson;  Patrick Lambrix","Y","LINHAC Proceedings","Conference",2023
"Cognitive Assessment and Profiling for increased understanding of Individual and Team Game Intelligence and Performance in Ice hockey","ers Norén","Y","LINHAC Proceedings","Conference",2024
"Evaluating Space Creation in the National Hockey League using Puck and Player Tracking Data","Hassaan Inayatali;  Timothy Chan","Y","LINHAC Proceedings","Conference",2024
"Examining the Role of Hockey Leadership to Foster InclusiveCoach ing Practices: Discussions from Atlantic Canada","Lynn LeVatte; Christina Phillips; Shaun Ranni; Sarah MacRae;  Kristin O’Rourke","Y","LINHAC Proceedings","Conference",2024
"Characterizing Playing Styles for Ice Hockey Players","Anton Olivestam; Axel Rosendahl; Erik Wilderoth; Niklas Carlsson;  Patrick Lambrix","Y","LINHAC Proceedings","Conference",2024
"Puck Possessions and Team Success in the NHL","Miles Pitassi; Tim Brecht;  Mingyue Xie","Y","LINHAC Proceedings","Conference",2024
"Ice Hockey Action Recognition via Contextual Priors","Kseniia Buzko; Amir Nazemi; David A. Clausi; Yuhao Chen","Y","LINHAC Proceedings","Conference",2025
"A Gaussian Mixture Model Approach for Characterizing Playing Styles of Ice Hockey Players","Priyansh Gupta; Mikael Vernblom; Niklas Carlsson;  Patrick Lambrix","Y","LINHAC Proceedings","Conference",2025
"Individual Puck Possessions Part I: Frequency, Duration, and Distance Travelled","Evan Iaboni; Sebastian Negulescu; Miles Pitassi; Fauzan Lodhi;  Tim Brecht","Y","LINHAC Proceedings","Conference",2025
"Position Paper: New Views of Shots- Towards Measures of Net Visibility and Reachability","Evan Iaboni; Sebastian Negulescu; Miles Pitassi; Amir Nazemi; Jerrin Bright; Vasyl Chomko; David A. Clausi; Sven Dickinson;  Tim Brecht","Y","LINHAC Proceedings","Conference",2025
"Individual Puck Possessions Part II: Speed Bursts and Possession Times within Teams","Fauzan Lodhi; Sebastian Negulescu; Miles Pitassi; Evan Iaboni;  Tim Brecht","Y","LINHAC Proceedings","Conference",2025
"Dropping the Gloves, Driving the Play? Reassessing the Role of Fighting in Modern NHL Games","Rodney J. Paul; Nick Riccardi;  Hunter Kuchenbaur","Y","LINHAC Proceedings","Conference",2025
"Merging Shot Data and Measuring Player Importance to Team’s Offensive Flow","Louis Boulet","Y","LINHAC Proceedings","Conference",2025
"xReboundsPlus, Creating a Statistic to Predict Rebound Quality","Evan Lawing","Y","LINHAC Proceedings","Conference",2025
"Exploring Leadership and Cultural Training Experiences of Ice Hockey Coaches: Lessons Learned from Nova Scotia","Lynn LeVatte; Christina Philipps; Shaun Ranni; Sarah Timmons; Sarah MacRae;  Michelle Hoffman","Y","LINHAC Proceedings","Conference",2025
"Hockey Analytics","Brian Burke; Kathryn Tappen; Michael Schuckers; Mike Milbury; Peter Chiarelli; Tony Amonte","Y","MIT Sloan Sports Analytics Conference","Conference",2012
"Hockey Analytics: Out of the Ice Age","Brian Burke; Don Sweeney; Dale Arnold; Mark Dennehy; Eric Tulsky","Y","MIT Sloan Sports Analytics Conference","Conference",2014
"NHL Club Business & Analytics","Scott Jablonski","Y","MIT Sloan Sports Analytics Conference","Conference",2014
"Keep Your Players on the Ice: Applying Catapult Data","Ben Peterson","Y","MIT Sloan Sports Analytics Conference","Conference",2015
"Blending old and new: How the Florida Panthers try to Predict Future Performance at the NHL Entry Draft","Eric Joyce","Y","MIT Sloan Sports Analytics Conference","Conference",2017
"The Long Thaw: Hockey's Embrace of Analytics","Tyler Dellow; Josh Flynn; David Johnson; Hilary Knight; Dimitri Filipovic","Y","MIT Sloan Sports Analytics Conference","Conference",2017
"Hockey Analytics on the Fly presented by SPORTLOGiQ","Chris Snow; Dan Bylsma; John Chayka","Y","MIT Sloan Sports Analytics Conference","Conference",2018
"Hockey Analytics: A Faceoff With Data","Sunny Mehta; Alison Lukan; Andrew Thomas; Dominic Moore","Y","MIT Sloan Sports Analytics Conference","Conference",2020
"Democratizing Athletic Talent Identification via AR Technology - Leveraging the Power of Collaboration to Unlock Infinite Business Impact","Morgan Todd","Y","MIT Sloan Sports Analytics Conference","Conference",2021
"The Data Dangle: Hockey Analytics","John Buccigross; Meghan Chayka; Alexandra Mandrycky; Hilary Knight","Y","MIT Sloan Sports Analytics Conference","Conference",2021
"Data, Snipe, Celly: The State of Hockey Analytics","Dominic Moore; Namita Nandakumar; Meghan Chayka; Brant Berglund; Greg Wyshynski","Y","MIT Sloan Sports Analytics Conference","Conference",2022
"Hard Cap Constrains: Roster Construction in the Hard Cap Era of Hockey","Dominic Moore; Kate Madigan; Brett Peterson; Meghan Chayka","Y","MIT Sloan Sports Analytics Conference","Conference",2023
"Inside the Glass: the Making of NHL Edge IQ","Brant Berglund","Y","MIT Sloan Sports Analytics Conference","Conference",2024
"Stats to Stanely Cup: Building Successful NHL Teams","Arda Ocal; Meghan Chayka; Brett Peterson; P.K. Subban; Tyler Dellow","Y","MIT Sloan Sports Analytics Conference","Conference",2024
"Decisions on Ice: The Next Frontier of Hockey Analytics","Arda Ocal; Jeremy Rogalski; Meghan Chayka; Philippe Desaulniers","Y","MIT Sloan Sports Analytics Conference","Conference",2025
"Of Mice and Hockey Players: Cross Disciplinary Lessons About Tracking Data","Margaret Cunniff","Y","MIT Sloan Sports Analytics Conference","Conference",2025
"Bayesian Spatial Modeling for Evaluating Hockey Goaltending Performance","Daniel Lee","Y","MIT Sloan Sports Analytics Conference","Conference",2026
"Ice Time: Analytics Across Hockey's Levels","Arda Ocal; Meghan Chayka; John Wroblewski; Angela Ruggiero","Y","MIT Sloan Sports Analytics Conference","Conference",2026
"Hockey Analytics: Past, Present, Future","Rob Vollman","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Hockey Statistics: From Raw Data to WOWY","David Johnson","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Beyond the RTSS: Building a Comprehensive NHL Database With Multiple Online Resources","Andrew Thomas","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Developing Analytics in Development Leagues","Josh Weissbock","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Expected Goals: Blending Shot Quantity and Quality to Evaluate Teams and Players","Sam Ventura","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Data mining the play by play: A new look at player performance","Alex Diaz-Papkovich","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Beyond Corsi: Examining Weighted Shots","Matt Cane","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Context and Change in the NHL.","Stephen Burtch","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Microstats and Applications of Blue Line Data","Emmanuel Perry","Y","Ottawa Hockey Analytics Conference","Conference",2015
"P.K. Subban: Defensive Liability?","Andrew Berkshire","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Looking back, looking forward: what don't we know?","Tom Awad","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Applying Analytics and Microstats to NCAA hockey","Timo Seppa","Y","Ottawa Hockey Analytics Conference","Conference",2015
"Drunks, Lampposts, and Hockey Analytics","Michael Schuckers","Y","Ottawa Hockey Analytics Conference","Conference",2015
" Biased Penalty Calls in the NHL","Tim Swartz","Y","Ottawa Hockey Analytics Conference","Conference",2016
" The Production of Winning and Losing Hockey Games","Kevin Mongeon","Y","Ottawa Hockey Analytics Conference","Conference",2016
" A new look at an old xG","Michael Schuckers","Y","Ottawa Hockey Analytics Conference","Conference",2016
" The Analytics Power Play","Luigi Sorbara","Y","Ottawa Hockey Analytics Conference","Conference",2016
" Hopefully Coming Soon","Craig Buntin","Y","Ottawa Hockey Analytics Conference","Conference",2016
" Empowering analytics through data capture","Cary Moretti","Y","Ottawa Hockey Analytics Conference","Conference",2016
" Coming Soon","Jim Doeden","Y","Ottawa Hockey Analytics Conference","Conference",2016
" How x/y tracking data is a game-changer for NHL analytics","Marc Appelby","Y","Ottawa Hockey Analytics Conference","Conference",2016
" A Statistical Framework for Hockey Analytics","Josh Pohlkamp-Hartt","Y","Ottawa Hockey Analytics Conference","Conference",2016
" Drafting Data","David Wilson","Y","Ottawa Hockey Analytics Conference","Conference",2016
" Applied Statistics and NHL Data","Alex Diaz-Papkovich","Y","Ottawa Hockey Analytics Conference","Conference",2016
" Ice Position","Micah Blake McCurdy","Y","Ottawa Hockey Analytics Conference","Conference",2016
"Goalie Brouhaha","Micah Blake McCurdy","Y","Ottawa Hockey Analytics Conference","Conference",2017
"Pose Estimation of Players in Hockey Videos using Convolutional Neural Networks","Helmut Neher","Y","Ottawa Hockey Analytics Conference","Conference",2017
"The Probability and Severity of Man Games Lost Due to Injury in an NHL Season","Jeremy Sylvain","Y","Ottawa Hockey Analytics Conference","Conference",2017
"NHL Playoff Predictions","Eric Blabac","Y","Ottawa Hockey Analytics Conference","Conference",2017
"Defending the Pass","Matt Cane","Y","Ottawa Hockey Analytics Conference","Conference",2017
"Draft by Numbers","Michael Schuckers","Y","Ottawa Hockey Analytics Conference","Conference",2017
"Text Mining of Scouting Reports","Timo Seppa","Y","Ottawa Hockey Analytics Conference","Conference",2017
"A Utility Model for the Entry Draft","Brandon Alcox","Y","Ottawa Hockey Analytics Conference","Conference",2017
"Space and Some Other Things: Point Process Models for Hockey Data","Devan Becker","Y","Ottawa Hockey Analytics Conference","Conference",2017
"On the Powerplay, are 5 forwards better than 4?","Thomas Cote-Miller","Y","Ottawa Hockey Analytics Conference","Conference",2017
"Are Expected Goal Models Biased","John McCool","Y","Ottawa Hockey Analytics Conference","Conference",2017
"What Does It Mean To Draft Perfectly?","Namita Nandakumar","Y","Ottawa Hockey Analytics Conference","Conference",2017
"Estimating Player Survivability in the NHL","Chris Shoniker","Y","Ottawa Hockey Analytics Conference","Conference",2017
"The Effect of Rinks on Shot Rates in the QMJHL","John Tank","Y","Ottawa Hockey Analytics Conference","Conference",2017
"How to design an efficient roster in the National Hockey League","Stephanos Tselios","Y","Ottawa Hockey Analytics Conference","Conference",2017
"Pace of Play in Hockey","Tim Swartz","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Model Trees for Identifying Exceptional Players in the NHL","Yejia Liu","Y","Ottawa Hockey Analytics Conference","Conference",2018
"The Hot Hand Theory in hockey: A multilevel logistic regression analysis","Likang Ding","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Estimating the Causal Effect of Injury on Performance","Tyrel Stokes","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Hockey Player Mapping with Deep Convolutional Neural Networks","Campbell Weaver","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Hockey in Space: Characterizing team-wise differences in shot locations with spatial point processes","Devan Becker","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Isolating Individual Impact on Team Shot Quantity and Quality","Micah Blake McCurdy","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Design-Weighted Regression Plus Minus Applied to Hockey","Seongwon Im","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Direct Elo ratings applicability in hockey","Roman Parparov","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Stripping Away Natural Aging to Assess Contract Year Performance","Kyle Stich","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Analysis of team-level pace of play in hockey using spatio-temporal data","David Yu","Y","Ottawa Hockey Analytics Conference","Conference",2018
"Three-Dimensional Modelling of Hockey Event Frequencies","University of Toronto Hockey Analytics Club","N","Ottawa Hockey Analytics Conference","Conference",2018
"Comparing NHL Plauers' Shots and Goals by Algorithmically Decomposing Shot Intensity Surfaces","Devan Becker","Y","Ottawa Hockey Analytics Conference","Conference",2019
"Getting Data Analytics Right for Minor Hockey","Chrystia Chudczak","Y","Ottawa Hockey Analytics Conference","Conference",2019
"Discrete Defensive Strategies on the Penalty Kill","Meghan Hall","Y","Ottawa Hockey Analytics Conference","Conference",2019
"So You Want To Build A Power Play","Sean Tierney","Y","Ottawa Hockey Analytics Conference","Conference",2019
"From Grapes And Prunes to Apples and Apples: Using Matched Methods to Estimate Optimal Zone Entry Decision-Making in the NHL","Asmae Toumi","Y","Ottawa Hockey Analytics Conference","Conference",2019
"Evaluating the 2019-20 Erie Otters through Markov Models","Greg Ackerman","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Bayesian Space- Time Models for Expected Possession added Value","Brendan Kumagai; Mikael Nahabedian;  Thibaud Châtel; Tyrel Stokes","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Teamwork Makes the Dream Work","Ian Astalosh","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Moving Beyond Assists: A Bayesian Analysis of Passing  Ability","Marc Richards","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Determining Pass Value and Efficiency in Hockey","Devlin Sullivan; Owen Ricketts","Y","Ottawa Hockey Analytics Conference","Conference",2021
"How Do We Get There: Quantifying Pass Types and their Value","Ben Howell","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Deep Learning for projecting prospects — A Long-Short Term Memory (LSTM) Framework for player development","Connor Jung","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Isolated impact on Blueline Traversals","Micah Blake McCurdy","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Prospects and the Draft","Will Scouch; Isabelle Pardew","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Expected Value and Scoring Chances","Nick Czuzoj-Shulman; Vincent Karpick; Jered Petrou","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Sport Science and Special Teams","Aaron Pearson; Dave Vallett; Madeleine Anthonisen","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Passing Analysis","Coltrane Yan; Dan Morse; Jacob Fahringer","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Women's Hockey Data Analysis","Nayan Patel; Carleen Markey; Shayna Goldman; Mike Murphy; Alyssa Longmuir; Ethan Douglas; Sean Clement; Nick Wan;
Ian Greengross","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Advanced Player Metrics","Avery Ellis; Matt Hurley; Alex Novet; Matthew Raber; Daniel Eisenberg","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Prospect Decisions-Making and Pass Quality with Pass Value Added","Coltrane Yan","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Quantifying offensive passing ability with Expected Primary Assists","Dan Morse","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Hot Routes An Analysis of Powerplay Entry Paths","Jacob Fahringer","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Identifying Player Archetypes in Women’s Hockey","Nayan Patel; Carleen Markey","Y","Ottawa Hockey Analytics Conference","Conference",2021
"How important are faceoffs to possession in women's hockey","Shayna Goldman; Mike Murphy; Alyssa Longmuir","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Valuing Individual Contributing Events (V-ICE) in Hockey","Ethan Douglas; Sean Clement; Nick Wan;
Ian Greengross","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Using Threat To Value & Contextualize On-Puck Actions","Avery Ellis; Matt Hurley","Y","Ottawa Hockey Analytics Conference","Conference",2021
"BSAVE: Bayesian Skater Action Value Expectation","Alex Novet","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Defensive Efficiency Metrics (DEMs)","Matthew Raber; Daniel Eisenberg","Y","Ottawa Hockey Analytics Conference","Conference",2021
"Tracking Data from other (non-Hockey) Sports","Aaron Blacksher; Seth Partnow","Y","Ottawa Hockey Analytics Conference","Conference",2022
"Leadership in (Hockey) Analytics","Ian Anderson; Jeremy Rogalski; Alexandra Mandrycky","Y","Ottawa Hockey Analytics Conference","Conference",2022
"On the Breakaway: Accelerating the evolution of women’s hockey analytics","Carleen Markey","Y","Ottawa Hockey Analytics Conference","Conference",2022
"Can Skaters Impact Goaltending Metrics?","CJ Turtoro","Y","Ottawa Hockey Analytics Conference","Conference",2022
"Do We Have a Deal? Evaluating trades in the NHL","Prashanth Iyer","Y","Ottawa Hockey Analytics Conference","Conference",2022
"Problem Solving with Data","Dani Chu; Andrew Thomas; Asmae Toumi","Y","Ottawa Hockey Analytics Conference","Conference",2022
"A Survey on Video Action Recognition in Sports: Datasets, Methods and Applications","Wu F.; Wang Q.; Bian J.; Ding N.; Lu F.; Cheng J.; Dou D.; Xiong H.","Y","IEEE Transactions on Multimedia","Research",2023
"Situational and Game Variables in Rink Hockey: A Systematic Review","Arboix-Alió J.; Buscà B.; Peña J.; Aguilera-Castells J.; Miró A.; Fort-Vanmeerhaeghe A.; Trabal G.","Y","Apunts. Educacion Fisica y Deportes","Research",2023
"The Relationship between Ball Speed and Shooting Accuracy during Field Hockey Hit","Manaf M.I.A.; Mohamad N.I.; Malek N.F.A.; Jahizi A.A.M.; Nadzalan A.M.","Y","Journal of Physics: Conference Series","Research",2021
"Analyzing hockey publications through scientometric and altmetric perspectives","Nadanveettil G.N.; Kambitta Valappil I.N.; Swargiary H.; Sevukan R.","Y","Global Knowledge, Memory and Communication","Research",2024
"The use of video within a database management system: The creation of an integrated information system for National Hockey League (NHL) teams","Leonard K.J.","Y","International Journal of Computer Applications in Technology","Research",2002
"Research of the college coaches evaluation index system based on the fuzzy comprehensive evaluation model","Chen J.F.; Yang A.; Zhou X.; Yan L.","Y","BioTechnology: An Indian Journal","Research",2014
"Predicting performance in women's ice hockey","Geithner C.A.","Y","Advances in Strength and Conditioning Research","Research",2009
"Corsi, Fenwick and Gramsci: How bloggers and advanced analytics are changing the National Hockey League","Sheps S.W.","Y","International Review for the Sociology of Sport","Research",2020
"Current Approaches to the Use of Artificial Intelligence for Injury Risk Assessment and Performance Prediction in Team Sports: a Systematic Review","Claudino J.G.; Capanema D.O.; de Souza T.V.; Serrão J.C.; Machado Pereira A.C.; Nassis G.P.","Y","Sports Medicine - Open","Research",2019
"MATCH ANALYSIS IN RINK HOCKEY: A SYSTEMATIC REVIEW","Sousa T.; Sarmento H.; Harper L.D.; Valente-Dos-Santos J.; Vaz V.","Y","Human Movement","Research",2022
"Position Data","Memmert D.","Y","Computer Science in Sport: Modeling, Simulation, Data Analysis and Visualization of Sports-Related Data","Research",2024
"Comparisons of National Hockey League Edge Data for Playoff Versus Nonplayoff Teams","Gillen Z.M.","Y","Journal of Strength and Conditioning Research","Research",2026
"Analysis of the self-efficacy of ice hockey referees","Aygun M.; Murathan T.","Y","Sport TK","Research",2023
"A Comprehensive Data Pipeline for Comparing the Effects of Momentum on Sports Leagues","Noel J.T.P.; Prado da Fonseca V.; Soares A.","Y","Data","Research",2024
"Biased penalty calls in the National Hockey League","Beaudoin D.; Schulte O.; Swartz T.B.","Y","Statistical Analysis and Data Mining","Research",2016
"An investigation of multidimensional worry dispositions in a high contact sport","Dunn J.G.H.; Syrotuik D.G.","Y","Psychology of Sport and Exercise","Research",2003
"Automatic acquisition of motion trajectories: Tracking hockey players","Okuma K.; Little J.J.; Lowe D.","Y","Proceedings of SPIE - The International Society for Optical Engineering","Research",2004
"An efficient rating system for players based on their position statistics","Sami M.; Taufiq S.; Agarwal K.; Qureshi R.","Y","2021 15th International Conference on Open Source Systems and Technologies, ICOSST 2021 - Proceedings","Research",2021
"A study on the problem solving competence of elite female hockey players in terms of certain variables","Akpinar S.","Y","Energy Education Science and Technology Part B: Social and Educational Studies","Research",2012
"Load Management Among Professional Hockey Goalies: A Retrospective Cohort Study","Ekhtiari S.; Fahey C.; Hache P.; Hache R.; Rubinger L.; Khan M.; Richards D.; Grant J.A.","Y","Sports Health","Research",2025
"biomechZoo: An open-source toolbox for the processing, analysis, and visualization of biomechanical movement data","Dixon P.C.; Loh J.J.; Michaud-Paquette Y.; Pearsall D.J.","Y","Computer Methods and Programs in Biomedicine","Research",2017
"An analysis of research output on Hockey at global level: A scientometric study","Tharmar K.; Kalidasan R.","Y","Library Philosophy and Practice","Research",2019
"Advocating individual-based profiles of elite athletes to capture the multifactorial nature of elite sports performance","Zentgraf K.; Musculus L.; Reichert L.; Will L.; Roffler A.; Hacker S.; Hilpisch C.; Wiedenbrüg K.; Cermak N.; Lenz C.; de Haan H.; Mutz M.; Wiese L.; Al-Ghezi A.; Raab M.; Krüger K.","Y","Scientific Reports","Research",2024
"Assessing High-Intensity Acceleration Efforts Using Local Positioning System—Introducing the Concept of the Relative Acceleration Threshold to Ice Hockey","Bielmann Christian; Fischer-Sonderegger, Karin; Quirin, Söhnlein; Taube, Wolfgang; Tschopp, Markus","Y","Sports","Research",2026
"A narrative review of deep learning applications in sports performance analysis: current practices, challenges, and future directions","Jia, Yunke; Anida Abdullah, Norli; Eliza, Hafiz; Lu, Qingbo; Si, Deyou; Guo, Hengwei; Wang, Wenliang","Y","BMC Sports Science, Medicine & Rehabilitation","Research",2025
"Characterization of anthropometric and physical fitness factors in Colombian skaters by gender using principal component analysis","Becerra-Patiño, Boryi; Paucar-Uribe, Juan David; Rada-Perdigón, Diego Andres","Y","Journal of Physical Education and Sport","Research",2025
"Prevalence and Clinical Patterns of Piriformis Syndrome Among Actively Competing and Retired Elite Hockey Players","Neal, Caleb; Gelatt, Timothy; Toma Milan","Y","Sports","Research",2026
"Perceptual Training in Ice Hockey: Bridging the Eyes-Puck Gap Using Virtual Reality",NA,"Y","Sports Medicine - Open","Research",2025
"Associations between skating mechanical capabilities and off‐ice physical abilities of highly trained teenage ice hockey players","Glaude‐Roy, Julien; Ducas, Julien; Brunelle, Jean‐François; Lemoyne, Jean","Y","European Journal of Sport Science","Research",2024
"Motivation for practice in young rink hockey players","Honório, Samuel; Batista, Marco; Santos, Jorge; Rebelo, Miguel; Vaz, Luis; Nunes, Helder; Serrano, João Serrano; Casanova, Nuno; Thomas, Ewan","Y","Motricidade","Research",2025
"Evaluating Hockey Players Using Andersen and Petersen's Super-Efficiency Model: Who is the Best Czech Hockey Player in the NHL?","Pelloneová, Natalie","Y","Polish Journal of Sport and Tourism","Research",2023
"Functional movement screen test: A reliable screening test for young elite ice hockey players","Parenteau-G, Elizabeth; Gaudreault, Nathaly; Chambers, Stéphane; Boisvert, Caroline; Grenier, Alexandre; Gagné, Geneviève; Balg, Frédéric","Y","Physical Therapy in Sport","Research",2014
"Current state of development of basic physical parameters of Canadian-American National Hockey League (NHL) ice hockey players between 2015 and 2020 with regard to game position","Sigmund, Martin; Prycl, David; Dostalova, Iva","Y","Journal of Physical Education and Sport","Research",2023
"Ice Hockey Players Using a Weighted Implement When Training on the Ice: A Randomized Control Trial","Stark, Timothy W; Tvoric, Bojan; Walker, Bruce; Noonan, Dom; Sibla, Janeene","Y","Research Quarterly for Exercise and Sport","Research",2009
"Choice and experimental substantiation of tests for controlling physical and technical preparedness of hockey players","Kostiukevych, Viktor; Lazarenko, Nataliia; Vozniuk, Tetiana; Shchepotina, Natalia; Shynkaruk, Oksana; Valentina, Voronova; Borysova, Olga; Didyk, Tetiana; Perepelytsia, Oleksandr; Hudyma, Stepan; Bezmylov, Nikolay","Y","Journal of Physical Education and Sport","Research",2020
"Coach Selections and the Relative Age Effect in Male Youth Ice Hockey","Hancock, David J; Ste-Marie, Diane M; Young, Bradley W","Y","Research Quarterly for Exercise and Sport","Research",2013
"Putting Moneyball on Ice?","Mason, Daniel S; Foster, William M","Y","International Journal of Sport Finance","Research",2007
"The incidence of behaviours associated with body checking among youth ice hockey players","Malenfant, Simon; Goulet, Claude; Nadeau, Luc; Hamel, Denis; Emery, Carolyn A","Y","Journal of Science and Medicine in Sport","Research",2012
