"Title","Author","indivauthor","Publication","Type","Year"
"The math triumphs once again; So far, analytics numbers correct for Stanley Cup playoffs","Stinson, Scott","Y","Edmonton Journal","News",2015
"Leafs add a few extraskaters; New hires show team serious about analytics","Traikos, Michael","Y","National Post","News",2014
"Pro teams bet on analytics; Plenty of startups are lining up to cash in","Anwar, Ali","Y","National Post","News",2015
"To the barricades, analytics experts; Some players simply scoff at fancy stats","Stinson, Scott","Y","Edmonton Journal","News",2014
"The rising complexity of analytics in sports","Mirtle, James","Y","The Globe and Mail","News",2015
"Company nets analytics contract with Capitals; Year-old HockeyData already employs 20, will track events of prospects in the AHL","Shore, Randy","Y","The Vancouver Sun","News",2017
"Meeting of the analytics' minds in Rochester ... NHL staffersmust be flexible when presenting findings to coaches ... New formulato track value of goalies","MATISZ, JOHN","Y","The Toronto Sun","News",2015
"Math Triumphs Again; So far, analytics correct for who will win, not who should win in the playoffs","Stinson, Scott","Y","The Ottawa Citizen","News",2015
"Math on ice: NHL's Analytics War moves into the mainstream","Kelly, Cathal","Y","The Globe and Mail","News",2014
"Simplest statistic to rate performance; Tally of shooting and save percentages gives a good idea of the effectiveness of players, teams","Charron, Cam","Y","The Province","News",2012
"The art of analytics","Tait, Ed","Y","Winnipeg Free Press","News",2014
"Luck, odds do not go together; NHL analytics be damned now playoffs are here","Stinson, Scott","Y","National Post","News",2015
"As the Leafs try analytics, the question stands: Will Moneypuck work?","Mirtle, James","Y","The Globe and Mail","News",2014
"Statistics affirm McDavid elevates level of play for his teammates","Staples, David","Y","Edmonton Journal","News",2016
"NHL website tailor-made for statistics geeks","Stinson, Scott","Y","Edmonton Journal","News",2015
"Luongo set to toss out statistics ; VANCOUVER CANUCKS","Jones, Terry","Y","The London Free Press","News",2010
"Calgary's solid season defies Corsi statistics","Wilson, Kent","Y","The Vancouver Sun","News",2015
"Poolies at mercy of lady luck; Analytics tell only part of the story for gauging NHL playoff success","Stinson, Scott","Y","Calgary Herald","News",2015
"Statistics don't show whole picture; Oilers did solid job revamping roster","Staples, David","Y","Edmonton Journal","News",2011
"EX-NHL coach constantine was an analytics pioneer; Video used as far back as early 1990s to track advanced stats on own teams","Matheson, Jim","Y","Edmonton Journal","News",2016
"'It's an empty feeling': Reimer; There was never a game like this, statistics show","Arthur, Bruce","Y","The Gazette","News",2013
"Statistics don't concern Holtby; Goalie seeks team success","Siegel, Jonas","Y","Montreal Gazette","News",2017
"Numbers unkind to sens; The statistics tell the tale of why another season without playoffs looms","Warren, Ken","Y","The Ottawa Sun","News",2023
"NHL dives into brave new world; SAP-developed platform online offers 'enhanced statistics' for interested fans","Stinson, Scott","Y","Montreal Gazette","News",2015
"Sens-less statistics; Ottawa has held season's edge on Matthews, Leafs","Koshan, Terry","Y","The Toronto Sun","News",2024
"Perspective more vital than statistics; opinion: Truth is beyond numbers","Charron, Cam","Y","The Province","News",2011
"Special teams statistics are not very special","Ziemer, Brad","Y","The Vancouver Sun","News",2013
"What's luck got to do with it?; Analytics tell only part of the story when it comes to predicting NHL playoff success","Stinson, Scott","Y","The Province","News",2015
"Statistics don't lie -- or do they? Leafs come out on top despite being outshot 37-14 and the Wild's superior puck possession ... JVR misses game with mystery injury","Longley, Rob","Y","The Toronto Sun","News",2013
"Hamilton prefers to keep it simple; Not one enamoured with statistics, Flames d-man to play 400th NHL game","Anderson, Kristen","Y","Calgary Herald","News",2018
