Title,Subtitle,Author,indivauthor,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
"DO THE MATH ; CORSI, FENWICK, PDO AND ALL THE OTHER 'FANCY STATS' ARE BECOMING COMMON TERMS WHEN PEOPLE TALK HOCKEY. HERE'S WHY THE NHL IS, MORE AND MORE, EMBRACING THE SCIENCE OF ANALYTICS",,"MATISZ, JOHN",Y,The Toronto Sun,News,,,,2014-10-07,2014-10-07,S.34,,,08373175,,,ENG,https://www.proquest.com/docview/2233176752?accountid=14771&bdid=165203&_bd=aeSfEb3gLiDbODU9Ycs%2Bf0qvp7w%3D,
It's the good old analytics game,"HockeyTech uses new technology to track every shot, every move, and will sell data for scouting","Pender, Terry",Y,Waterloo Region Record,News,,,,2015-04-18,2015-04-18,D.18,,,,,,ENG,https://www.proquest.com/docview/1673936954?accountid=14771&bdid=165203&_bd=27qFFrmP4Gox1tA%2BrdY5NLTdz4s%3D,
Analytics can also give insight into coaching performance,Advanced stats highlight players' talents but can also be used on bench bosses,"Cooper, Ian",Y,Toronto Star,News,,,,2014-12-19,2014-12-19,S.5,,,03190781,,,ENG,https://www.proquest.com/docview/1637872036?accountid=14771&bdid=165203&_bd=Zw%2FQUrHN7ct1rLJD%2BWCDZti37QE%3D,
"Corsi, Fenwick, PDO and all the other 'fancy stats' are becoming common terms when people talk hockey. Here's why the NHL is, more and more, embracing the science of analytics",,"MATISZ, JOHN",Y,The Edmonton Sun,News,,,,2014-10-08,2014-10-08,S.20,,,,,,ENG,https://www.proquest.com/docview/2233186869?accountid=14771&bdid=165203&_bd=1u1YFjFQ%2BIgR0AKZXlm7iajLeQs%3D,
Stats heads all-in on analytics; ANNUAL CONFERENCE,,"Matisz, John",Y,The Province,News,,,,2017-05-09,2017-05-09,A.41,,,,,,ENG,https://www.proquest.com/docview/1896772056?accountid=14771&bdid=165203&_bd=PwnC%2B2DNHFCVVHksbg6wqypWxQU%3D,
Sports stats take flight,[National Edition],"Menzies, David",Y,National Post,News,,,,1999-08-09,1999-08-09,C.08,,C08,14868008,,,ENG,https://www.proquest.com/docview/329597669?accountid=14771&bdid=165203&_bd=hXYQNNBFnqAwdld8BzQAKh6s3aQ%3D,
Leafs' hiring of Dubas gives stats gurus nice boost,Hiring of young numbers expert progressive step forward for franchise,"Cooper, Ian",Y,Toronto Star,News,,,,2014-08-02,2014-08-02,S.2,,,03190781,,,ENG,https://www.proquest.com/docview/1550472540?accountid=14771&bdid=165203&_bd=Eysu2WRre%2FvZQzAV5dgdRDrVyWc%3D,
Leafs charging head-first into world of analytics,"Recent hirings, changes make team among NHL's leaders in embracing numbers game","Zwolinski, Mark",Y,Toronto Star,News,,,,2014-08-21,2014-08-21,S.4,,,03190781,,,ENG,https://www.proquest.com/docview/1554968110?accountid=14771&bdid=165203&_bd=Trnxi81ftaFaKe6YPS2%2FiXDjo%2F4%3D,
"Pacioretty cares about wins, not his statistics; Sniper's on pace for 40-goal season, answers his own call for more offence",,"Hickey, Pat",Y,Montreal Gazette,News,,,,2015-02-23,2015-02-23,D.2,,,2370-1676,,,ENG,https://www.proquest.com/docview/1657490549?accountid=14771&bdid=165203&_bd=f2FLiXIqlam4%2BSI5NcYwDUuK9LY%3D,
Statistics and studs,,"Mabin, Connie",Y,Telegram,News,,,,2006-09-13,2006-09-13,B.3,,B3,14876019,,,ENG,https://www.proquest.com/docview/344439952?accountid=14771&bdid=165203&_bd=dGc%2Fu87Pje%2FyFoYTxR5OVjFga0k%3D,
